Year,Yearly_Ranking,Title,Studio,Total_Gross,Number_of_Theaters,Opening_Gross,Number_of_Opening_Theaters,Open_Date,End_Date,Running time,Genre,Rating
2014,62,Muppets Most Wanted,BV,"$51,183,113 ","3,194","$17,005,126 ","3,194",3月21日,7月17日,1 hrs. 52 min.,Family Comedy,PG
2014,63,Ouija,Uni.,"$50,856,010 ","2,899","$19,875,995 ","2,858",10月24日,12月18日,1 hrs. 29 min.,Horror,PG-13
2014,64,The Boxtrolls,Focus,"$50,837,305 ","3,464","$17,275,239 ","3,464",9月26日,2月5日,1 hrs. 37 min.,Animation,PG
2014,65,Jack Ryan: Shadow Recruit,Par.,"$50,577,412 ","3,387","$15,451,981 ","3,387",1月17日,4月3日,1 hrs. 40 min.,Action Thriller,PG-13
2014,66,If I Stay,WB (NL),"$50,474,843 ","3,157","$15,679,190 ","2,907",8月22日,11月6日,1 hrs. 46 min.,Drama,PG-13
2014,67,The Book of Life (2014),Fox,"$50,151,543 ","3,113","$17,005,218 ","3,071",10月17日,2月26日,1 hrs. 35 min.,Animation,PG
2014,68,About Last Night (2014),SGem,"$48,637,684 ","2,253","$25,649,011 ","2,253",2月14日,4月27日,1 hrs. 40 min.,Romantic Comedy,R
2014,69,Into The Storm,WB (NL),"$47,602,194 ","3,434","$17,346,427 ","3,434",8月8日,11月20日,1 hrs. 29 min.,Thriller,PG-13
2014,70,The Judge,WB,"$47,119,388 ","3,003","$13,116,226 ","3,003",10月10日,1月15日,2 hrs. 21 min.,Drama,R
2014,71,Jersey Boys,WB,"$47,047,013 ","2,905","$13,319,371 ","2,905",6月20日,9月25日,2 hrs. 14 min.,Musical,R
2014,72,Blended,WB,"$46,294,610 ","3,555","$14,284,031 ","3,555",5月23日,8月28日,1 hrs. 57 min.,Romantic Comedy,PG-13
2014,73,The Giver,Wein.,"$45,090,374 ","3,003","$12,305,016 ","3,003",8月15日,12月11日,1 hrs. 31 min.,Fantasy Drama,PG-13
2014,74,St. Vincent,Wein.,"$44,137,712 ","2,552","$109,878 ",4,10月10日,3月5日,1 hrs. 43 min.,Comedy,PG-13
2014,75,Need for Speed,BV,"$43,577,636 ","3,115","$17,844,939 ","3,115",3月14日,6月19日,2 hrs. 10 min.,Action,PG-13
2014,76,A Million Ways to Die in the West,Uni.,"$43,139,300 ","3,160","$16,797,385 ","3,158",5月30日,7月17日,1 hrs. 56 min.,Western Comedy,R
2014,77,John Wick,LG/S,"$43,037,835 ","2,589","$14,415,922 ","2,589",10月24日,1月22日,1 hrs. 36 min.,Action,R
2014,78,Birdman,FoxS,"$42,340,598 ","1,213","$424,397 ",4,10月17日,4月16日,1 hrs. 59 min.,Comedy / Drama,R
2014,79,Dolphin Tale 2,WB,"$42,024,533 ","3,656","$15,873,397 ","3,656",9月12日,12月18日,1 hrs. 47 min.,Family,PG
2014,80,The Expendables 3,LGF,"$39,322,544 ","3,221","$15,879,645 ","3,221",8月15日,10月16日,1 hrs. 43 min.,Action,PG-13
2014,81,Earth to Echo,Rela.,"$38,934,842 ","3,230","$8,364,658 ","3,230",7月2日,10月30日,1 hrs. 31 min.,Adventure,PG
2014,82,Sex Tape,Sony,"$38,543,473 ","3,062","$14,608,152 ","3,062",7月18日,9月21日,1 hrs. 34 min.,Comedy,R
2014,83,Wild (2014),FoxS,"$37,880,356 ","1,361","$606,810 ",21,12月3日,5月7日,1 hrs. 55 min.,Drama,R
2014,84,Million Dollar Arm,BV,"$36,457,627 ","3,019","$10,515,659 ","3,019",5月16日,8月21日,2 hrs. 4 min.,Sports Drama,PG
2014,85,The Theory of Everything,Focus,"$35,893,537 ","1,220","$208,763 ",5,11月7日,4月16日,2 hrs. 3 min.,Drama,PG-13
2014,86,This is Where I Leave You,WB,"$34,296,320 ","2,868","$11,558,149 ","2,868",9月19日,12月4日,1 hrs. 43 min.,Comedy,R
2014,87,The Gambler,Par.,"$33,680,992 ","2,494","$9,129,999 ","2,478",12月25日,2月19日,1 hrs. 51 min.,Crime Drama,R
2014,88,Paranormal Activity: The Marked Ones,Par.,"$32,462,372 ","2,883","$18,343,611 ","2,867",1月3日,2月20日,1 hrs. 24 min.,Horror,R
2014,89,Nightcrawler,ORF,"$32,381,217 ","2,766","$10,441,000 ","2,766",10月31日,2月5日,1 hrs. 57 min.,Crime Drama,R
2014,90,Chef,ORF,"$31,424,003 ","1,298","$204,961 ",6,5月9日,9月11日,1 hrs. 55 min.,Comedy,R
2014,91,Get On Up,Uni.,"$30,703,100 ","2,469","$13,585,915 ","2,468",8月1日,9月18日,2 hrs. 18 min.,Music Drama,PG-13
2014,92,3 Days to Kill,Rela.,"$30,697,999 ","2,872","$12,242,218 ","2,872",2月21日,5月15日,1 hrs. 57 min.,Action Thriller,PG-13
2014,93,Deliver Us From Evil,SGem,"$30,577,122 ","3,049","$9,740,471 ","3,049",7月2日,8月10日,1 hrs. 58 min.,Horror,R
2014,94,When the Game Stands Tall,TriS,"$30,127,963 ","2,766","$8,381,509 ","2,673",8月22日,11月2日,1 hrs. 55 min.,Sports Drama,PG
2014,95,Draft Day,LG/S,"$28,842,237 ","2,781","$9,783,603 ","2,781",4月11日,6月19日,1 hrs. 50 min.,Sports Drama,PG-13
2014,96,Oculus,Rela.,"$27,695,246 ","2,648","$12,005,402 ","2,648",4月11日,6月26日,1 hrs. 45 min.,Horror,R
2014,97,The Best of Me,Rela.,"$26,766,213 ","2,936","$10,003,827 ","2,936",10月17日,1月15日,1 hrs. 57 min.,Romance,PG-13
2014,98,A Walk Among the Tombstones,Uni.,"$26,307,600 ","2,714","$12,758,780 ","2,712",9月19日,10月23日,1 hrs. 54 min.,Drama,R
2014,99,That Awkward Moment,Focus,"$26,068,955 ","2,809","$8,742,109 ","2,809",1月31日,4月3日,1 hrs. 34 min.,Romantic Comedy,R
